"thing_author_id","key.event","comments_count","collection_count","downloads_count","files_count","thing_like_count","made_count","remix_count","remixed_froms_count","views_count","tags_count","design.strategy","ES1","ES2","ES3","ES4"
"MakerBotStore2012","2",0,1,82,2,0,0,0,2,375,2,"free-riding",0,1,0,0
"MakerBotStoreEvent","2",0,0,62,1,0,0,0,0,338,0,"private",0,1,0,0
"makerbotthing","2",0,1,233,4,0,0,0,0,1698,1,"private",0,1,0,0
"MakerBotThingiverse","3",0,0,18,1,1,0,0,1,107,1,"free-riding",1,0,0,0
"MakerBotWorkshop","1",33,663,13906,47,566,19,4,0,102474,25,"private",0,1,0,0
"MakerBotWorkshop","2",0,22,219,5,29,0,1,1,941,6,"free-riding",0,1,0,0
"makerbox","2",0,1,59,1,1,0,0,1,270,1,"free-riding",0,1,0,0
"makerboy","1",4,4,2057,8,5,0,0,0,3118,8,"private",0,1,0,0
"makerbros","3",0,12,338,10,8,0,0,4,1906,4,"blended",0,1,0,0
"MakerCoast","2",11,67,585,4,30,3,0,0,5165,4,"private",0,1,0,0
"MakerCubed","1",50,764,17642,61,566,30,11,7,61806,130,"blended",0,1,0,0
"makerdev","3",0,12,340,3,6,1,1,1,1320,8,"free-riding",0,1,0,0
"MakerDogg","2",0,0,28,1,0,0,0,1,143,1,"free-riding",0,1,0,0
"makerdreams","3",5,47,783,11,53,1,0,0,3042,0,"private",0.2,0.8,0,0
"MAKERFAM","1",15,213,7636,20,175,6,0,5,45461,43,"blended",0,1,0,0
"MAKERFAM","2",26,580,7557,17,559,18,2,9,42197,59,"blended",0,1,0,0
"MAKERFAM","3",0,12,429,18,0,0,0,18,2104,16,"free-riding",0,1,0,0
"makerfan188","2",0,0,110,4,0,0,0,2,337,1,"free-riding",0,1,0,0
"makerfox","2",0,0,133,5,0,0,0,5,580,5,"free-riding",0,1,0,0
"makerfox","3",0,2,160,5,6,0,0,0,1445,10,"private",0,1,0,0
"MakerGear","1",24,76,2385,9,67,0,0,1,12904,36,"blended",0,0.875,0,0.125
"makergeeks","2",3,9,155,2,17,0,0,0,1097,4,"private",0,1,0,0
"makergrl","2",1,6,502,7,4,0,0,0,4218,0,"private",0.5,0.5,0,0
"makergroup","3",0,0,9,1,0,0,0,0,112,0,"private",0,1,0,0
"makerguy14","3",0,1,32,2,0,0,0,2,182,2,"free-riding",0,1,0,0
"MakerJack","3",0,0,13,1,0,0,0,1,43,1,"free-riding",0,1,0,0
"makerjeff","2",4,56,331,4,38,1,0,1,3664,6,"blended",0,1,0,0
